s,t,V_theoretical,mc_mean,mc_std,mc_p50,mc_p90,mc_p99,success_rate
1,34,4.117978096008301,4.11899995803833,2.0752925872802734,4.0,7.0,11.0,1.0
1,35,5.595378875732422,5.502999782562256,3.475628137588501,5.0,10.0,18.0,1.0
1,36,4.2036943435668945,4.335999965667725,2.981795310974121,3.0,8.0,15.010000228881836,1.0
1,37,5.42110013961792,5.1529998779296875,3.810720443725586,4.0,10.0,21.0,1.0
1,38,2.9250786304473877,2.924999952316284,2.977813959121704,2.0,7.0,14.010000228881836,1.0
1,39,3.314920425415039,3.321000099182129,2.93597674369812,2.0,7.0,15.0,1.0
1,40,4.163095951080322,4.244999885559082,2.7829794883728027,3.0,8.0,14.0,1.0
1,41,6.2728681564331055,6.068999767303467,4.300027847290039,5.0,11.0,22.010000228881836,1.0
1,42,4.344033241271973,4.336999893188477,2.7855753898620605,3.0,8.0,15.0,1.0
1,43,5.6417460441589355,5.702000141143799,4.058718681335449,5.0,11.0,20.0,1.0
1,44,4.350080966949463,4.242000102996826,2.519808769226074,3.0,8.0,13.0,1.0
1,45,6.354109764099121,6.210000038146973,3.955742835998535,5.0,11.0,21.0,1.0
1,46,5.016604423522949,5.045000076293945,3.059244155883789,4.0,9.0,16.0,1.0
1,47,4.937475681304932,4.788000106811523,2.566525936126709,4.0,8.0,14.0,1.0
1,48,4.870810031890869,4.7230000495910645,2.5620832443237305,4.0,8.0,14.0,1.0
1,49,5.867434024810791,5.86899995803833,3.4896762371063232,5.0,10.0,16.010000228881836,1.0
1,50,4.545126438140869,4.765999794006348,2.650517702102661,4.0,8.0,14.010000228881836,1.0
1,51,5.977327823638916,5.875999927520752,3.3416500091552734,5.0,10.0,16.0,1.0
1,52,4.998867988586426,5.127999782562256,3.1571528911590576,4.0,9.0,17.0,1.0
1,53,5.468904495239258,5.60099983215332,3.7594945430755615,4.0,11.0,20.0,1.0
1,54,2.4260172843933105,2.3910000324249268,2.635169744491577,1.0,7.0,11.010000228881836,1.0
1,55,3.762661933898926,3.802000045776367,2.5645265579223633,3.0,7.0,14.0,1.0
1,56,4.374571800231934,4.315999984741211,2.6555874347686768,4.0,8.0,13.010000228881836,1.0
1,57,5.09810733795166,5.119999885559082,2.752380609512329,4.0,9.0,14.0,1.0
1,58,3.9264068603515625,3.882999897003174,2.226052761077881,3.0,7.0,12.0,1.0
1,59,5.202258110046387,5.241000175476074,2.8942906856536865,5.0,9.0,14.010000228881836,1.0
1,60,3.8213605880737305,3.757999897003174,1.977229356765747,3.0,6.0,11.010000228881836,1.0
1,61,4.378693580627441,4.210999965667725,2.228559732437134,3.0,7.0,12.0,1.0
1,62,3.269939422607422,3.184999942779541,1.546213150024414,3.0,5.0,10.0,1.0
1,63,3.369154453277588,3.2730000019073486,2.411736249923706,3.0,6.0,12.0,1.0
1,64,2.336054801940918,2.3540000915527344,0.578518807888031,2.0,3.0,4.0,1.0
2,0,22.62029457092285,23.170000076293945,24.111515045166016,15.0,52.0,111.16000366210938,1.0
2,1,9.849527359008789,9.907999992370605,11.803284645080566,6.0,24.0,59.0099983215332,1.0
2,3,2.0,2.0199999809265137,1.4337363243103027,1.0,4.0,7.010000228881836,1.0
2,4,2.0,2.072999954223633,1.4441852569580078,2.0,4.0,8.0,1.0
2,5,3.7551727294921875,3.7109999656677246,3.32948637008667,3.0,7.0,18.0,1.0
2,6,3.072540044784546,3.059999942779541,3.591712713241577,1.0,8.0,20.0,1.0
2,7,2.7875404357910156,2.75600004196167,2.6295368671417236,2.0,6.0,13.0,1.0
2,8,3.1433770656585693,3.2829999923706055,2.946338653564453,2.0,7.0,13.0,1.0
2,9,4.90293550491333,5.111000061035156,4.5887556076049805,4.0,12.0,21.0,1.0
2,10,3.0063695907592773,2.9519999027252197,2.67800235748291,2.0,6.0,13.010000228881836,1.0
2,11,2.5615410804748535,2.5450000762939453,2.997661590576172,1.0,7.0,13.0,1.0
2,12,3.079281806945801,3.0880000591278076,2.580359697341919,2.0,6.0,13.0,1.0
2,13,4.465121746063232,4.673999786376953,4.03357458114624,3.0,10.0,19.010000228881836,1.0
2,14,3.3388864994049072,3.2890000343322754,2.6727287769317627,2.0,7.0,12.010000228881836,1.0
2,15,3.855435848236084,3.921999931335449,3.018594980239868,3.0,8.0,15.0,1.0
2,16,4.227449417114258,4.181000232696533,3.3758316040039062,3.0,8.0,16.0,1.0
2,17,5.627216815948486,5.65500020980835,4.605645656585693,5.0,11.100000381469727,22.0,1.0
2,18,4.293955326080322,4.368000030517578,3.7969167232513428,3.0,9.0,17.0,1.0
2,19,6.133805751800537,6.318999767303467,5.325339317321777,5.0,13.0,26.0,1.0
2,20,4.236789226531982,4.302999973297119,3.71553373336792,3.0,9.0,16.0,1.0
2,21,5.968061447143555,5.73799991607666,4.395151615142822,4.0,11.0,22.0,1.0
2,22,4.530305862426758,4.413000106811523,4.092728614807129,3.0,9.0,19.010000228881836,1.0
2,23,3.6876535415649414,3.7980000972747803,3.566678524017334,3.0,8.0,17.010000228881836,1.0
2,24,3.556774139404297,3.6110000610351562,3.3444998264312744,2.0,8.0,16.0,1.0
2,25,5.12470006942749,5.210000038146973,4.727779388427734,4.0,12.0,21.0,1.0
2,26,3.4367260932922363,3.365999937057495,2.499208688735962,3.0,7.0,12.0,1.0
2,27,4.627399921417236,4.564000129699707,3.7579121589660645,3.0,10.0,17.0,1.0
2,28,2.896043062210083,2.802000045776367,2.2655675411224365,2.0,6.0,11.010000228881836,1.0
2,29,4.003994941711426,4.339000225067139,4.596746444702148,2.0,10.0,20.0,1.0
2,30,3.898463249206543,3.9019999504089355,3.3571410179138184,3.0,8.0,16.010000228881836,1.0
2,31,2.773813247680664,2.8480000495910645,2.4180355072021484,2.0,6.0,12.0,1.0
2,32,3.97546124458313,4.0960001945495605,3.755100965499878,3.0,9.0,17.010000228881836,1.0
2,33,5.286849498748779,5.181000232696533,4.26030969619751,4.0,11.0,21.010000228881836,1.0
2,34,3.1179778575897217,3.2320001125335693,2.405862808227539,2.5,6.0,12.0,1.0
2,35,4.595378875732422,4.73199987411499,3.92990779876709,4.0,9.100000381469727,20.0,1.0
2,36,3.2036945819854736,3.3459999561309814,3.0305583477020264,2.0,7.0,14.0,1.0
2,37,4.428073406219482,4.429999828338623,3.5798184871673584,3.0,9.0,18.0,1.0
2,38,3.5633347034454346,3.4690001010894775,2.9399044513702393,3.0,7.0,14.0,1.0
2,39,3.0410823822021484,3.0350000858306885,2.9792239665985107,2.0,7.0,15.0,1.0
2,40,3.5804672241210938,3.5350000858306885,3.0457799434661865,3.0,7.0,15.010000228881836,1.0
2,41,5.379725456237793,5.452000141143799,4.998369216918945,4.0,12.0,23.010000228881836,1.0
2,42,3.3440332412719727,3.368000030517578,2.74491810798645,3.0,7.0,12.0,1.0
2,43,4.6417460441589355,4.679999828338623,3.8475446701049805,4.0,10.0,17.010000228881836,1.0
2,44,3.350080728530884,3.2960000038146973,2.7594175338745117,2.0,7.0,13.0,1.0
2,45,5.354109764099121,5.392000198364258,4.110515117645264,4.0,11.0,20.010000228881836,1.0
2,46,4.016604423522949,4.011000156402588,3.132870674133301,3.0,8.0,15.010000228881836,1.0
2,47,3.9374754428863525,3.9539999961853027,2.878173828125,3.0,8.0,15.0,1.0
2,48,3.870810031890869,3.9210000038146973,2.7082760334014893,3.0,7.0,14.0,1.0
2,49,4.867434024810791,4.933000087738037,3.474839687347412,4.0,9.0,18.0,1.0
2,50,3.545126438140869,3.3970000743865967,2.4890542030334473,3.0,7.0,13.0,1.0
2,51,4.977327823638916,4.834000110626221,3.535879611968994,4.0,10.0,17.0,1.0
2,52,3.998867988586426,3.997999906539917,3.0469648838043213,3.0,8.0,15.010000228881836,1.0
2,53,4.937382698059082,4.876999855041504,3.151487112045288,4.0,9.0,15.0,1.0
2,54,3.2217793464660645,3.3310000896453857,2.1348159313201904,3.0,6.0,12.0,1.0
2,55,3.069504737854004,3.0450000762939453,2.191112756729126,2.0,6.0,10.010000228881836,1.0
2,56,3.408731698989868,3.2709999084472656,2.0970356464385986,3.0,6.0,11.0,1.0
2,57,4.4351396560668945,4.4079999923706055,2.6913816928863525,4.0,8.0,13.0,1.0
2,58,3.1259567737579346,3.1059999465942383,1.9931793212890625,3.0,6.0,10.0,1.0
2,59,4.202258110046387,4.236999988555908,2.8172380924224854,4.0,8.0,13.0,1.0
2,60,3.314201593399048,3.3010001182556152,2.047534942626953,3.0,6.0,11.0,1.0
2,61,4.039225101470947,4.045000076293945,2.760249137878418,3.0,8.0,15.0,1.0
2,62,3.004784345626831,3.003000020980835,1.8742973804473877,3.0,5.0,9.0,1.0
2,63,3.5531558990478516,3.3959999084472656,2.2287180423736572,3.0,6.0,10.010000228881836,1.0
2,64,1.542707085609436,1.5670000314712524,0.7493404150009155,1.0,3.0,4.0,1.0
3,0,26.451364517211914,26.733999252319336,25.646854400634766,18.0,61.0,122.0,1.0
3,1,13.699691772460938,13.277000427246094,14.410490989685059,8.0,29.0,69.0199966430664,1.0
3,2,3.8513998985290527,3.7639999389648438,6.692555904388428,2.0,8.0,37.0099983215332,1.0
3,4,1.600000023841858,1.5850000381469727,0.9574836492538452,1.0,3.0,5.0,1.0
3,5,2.8280792236328125,2.859999895095825,3.555615186691284,1.5,6.0,21.010000228881836,1.0
3,6,3.282007932662964,3.2639999389648438,3.1058499813079834,2.0,6.0,18.0,1.0
3,7,2.6813108921051025,2.808000087738037,3.423030138015747,1.0,7.0,16.0,1.0
3,8,2.314195156097412,2.2820000648498535,2.667297601699829,1.0,5.0,13.010000228881836,1.0
3,9,4.858041286468506,4.927000045776367,4.556936740875244,3.0,11.0,19.0,1.0
3,10,2.7040200233459473,2.680000066757202,2.519444227218628,2.0,6.0,13.0,1.0
3,11,4.261606216430664,4.13100004196167,3.857698678970337,3.0,8.0,19.0,1.0
3,12,3.2973780632019043,3.191999912261963,2.5552172660827637,2.0,7.0,12.0,1.0
3,13,4.052661418914795,4.304999828338623,4.036579608917236,3.0,9.0,19.0,1.0
3,14,3.3765366077423096,3.315999984741211,2.651442050933838,3.0,7.0,13.0,1.0
3,15,4.030129909515381,4.182000160217285,3.2928524017333984,3.0,8.0,16.010000228881836,1.0
3,16,4.379150390625,4.426000118255615,3.6189119815826416,3.0,9.0,17.010000228881836,1.0
3,17,4.979598522186279,5.184000015258789,4.6812543869018555,4.0,12.0,21.010000228881836,1.0
3,18,4.513395309448242,4.480999946594238,3.5628132820129395,4.0,9.0,16.010000228881836,1.0
3,19,6.41166353225708,6.2129998207092285,4.680345058441162,5.0,12.0,22.010000228881836,1.0
3,20,4.473578453063965,4.620999813079834,3.656139850616455,4.0,9.0,17.010000228881836,1.0
3,21,5.8919806480407715,5.702000141143799,4.595127582550049,4.0,12.0,21.0,1.0
3,22,4.898819923400879,5.105999946594238,4.305434703826904,4.0,10.100000381469727,20.010000228881836,1.0
3,23,4.543239593505859,4.451000213623047,3.6410984992980957,3.0,9.0,16.0,1.0
3,24,4.508214950561523,4.672999858856201,3.806582450866699,4.0,10.0,18.010000228881836,1.0
3,25,5.69267463684082,5.361000061035156,4.557266712188721,4.0,11.100000381469727,22.0,1.0
3,26,3.77412748336792,3.7780001163482666,2.912510395050049,3.0,8.0,13.0,1.0
3,27,5.337581157684326,5.426000118255615,4.219540596008301,4.0,11.0,21.0,1.0
3,28,3.823939800262451,3.878000020980835,2.7750885486602783,3.0,7.0,14.0,1.0
3,29,5.112233638763428,5.013999938964844,3.8899619579315186,4.0,10.0,18.0,1.0
3,30,4.058302879333496,4.0269999504089355,3.2839415073394775,3.0,8.0,16.0,1.0
3,31,3.3453633785247803,3.2850000858306885,2.4843056201934814,3.0,6.0,12.0,1.0
3,32,4.38206148147583,4.349999904632568,3.5391383171081543,3.0,9.0,17.010000228881836,1.0
3,33,5.5160417556762695,5.415999889373779,4.277726650238037,4.0,11.0,20.0,1.0
3,34,3.189429998397827,3.2829999923706055,2.3526391983032227,3.0,6.0,11.010000228881836,1.0
3,35,4.354598522186279,4.363999843597412,3.8739519119262695,3.0,9.0,19.0,1.0
3,36,3.4801459312438965,3.444000005722046,2.572326421737671,3.0,7.0,12.0,1.0
3,37,4.896394729614258,4.920000076293945,3.9290709495544434,4.0,10.0,18.0,1.0
3,38,3.9982147216796875,4.046000003814697,3.1470439434051514,3.0,8.0,15.0,1.0
3,39,3.86741042137146,3.947999954223633,3.2513530254364014,3.0,8.0,16.010000228881836,1.0
3,40,3.663569450378418,3.6559998989105225,3.0951032638549805,3.0,7.099999904632568,15.0,1.0
3,41,5.6466169357299805,5.764999866485596,4.6694512367248535,5.0,12.0,23.0,1.0
3,42,3.5075695514678955,3.5339999198913574,2.7186107635498047,3.0,7.0,13.0,1.0
3,43,4.917904376983643,4.966000080108643,3.6453866958618164,4.0,9.0,18.0,1.0
3,44,3.6291630268096924,3.7239999771118164,2.716214895248413,3.0,7.0,14.010000228881836,1.0
3,45,5.100544452667236,5.336999893188477,4.423509120941162,4.0,11.0,19.010000228881836,1.0
3,46,3.953751564025879,4.080999851226807,3.2888355255126953,3.0,8.0,17.0,1.0
3,47,4.0398054122924805,4.0920000076293945,3.287177801132202,3.0,8.0,16.0,1.0
3,48,3.9838387966156006,4.039999961853027,2.7982852458953857,3.0,8.0,13.0,1.0
3,49,5.0032548904418945,5.138000011444092,3.711193084716797,4.0,10.0,18.0,1.0
3,50,3.6794419288635254,3.617000102996826,2.526719570159912,3.0,7.0,12.010000228881836,1.0
3,51,4.919967174530029,4.876999855041504,3.259734869003296,4.0,9.0,16.0,1.0
3,52,3.9727632999420166,4.025000095367432,2.858736753463745,3.0,7.0,14.010000228881836,1.0
3,53,5.21465539932251,5.473999977111816,3.625648021697998,5.0,10.0,17.020000457763672,1.0
3,54,3.405156373977661,3.5910000801086426,2.6381280422210693,3.0,7.0,13.0,1.0
3,55,3.652191400527954,3.6659998893737793,2.7771286964416504,3.0,7.0,14.0,1.0
3,56,3.699037790298462,3.808000087738037,2.6535139083862305,3.0,7.0,13.010000228881836,1.0
3,57,4.237934589385986,4.230999946594238,2.543548583984375,4.0,8.0,13.0,1.0
3,58,3.022509813308716,3.0950000286102295,2.0149378776550293,3.0,6.0,10.0,1.0
3,59,4.3203535079956055,4.39300012588501,2.8873085975646973,4.0,8.0,15.0,1.0
3,60,3.225511074066162,3.305000066757202,2.281222105026245,3.0,6.0,11.0,1.0
3,61,4.215136528015137,4.198999881744385,2.548214912414551,4.0,7.0,13.0,1.0
3,62,3.4571359157562256,3.434000015258789,1.803786039352417,3.0,6.0,9.0,1.0
3,63,3.784310817718506,3.805000066757202,2.487764835357666,3.0,7.0,12.0,1.0
3,64,1.588646411895752,1.628999948501587,0.6521955132484436,2.0,2.0,3.009999990463257,1.0
4,0,36.487709045410156,36.150001525878906,26.86792755126953,29.0,71.0999984741211,128.00999450683594,1.0
4,1,23.802989959716797,24.891000747680664,19.185909271240234,19.0,51.0,98.0,1.0
4,2,13.959894180297852,14.083999633789062,13.6596097946167,9.0,32.0,64.01000213623047,1.0
4,3,10.751206398010254,10.461999893188477,12.016179084777832,6.0,26.0,55.0,1.0
4,5,3.656158208847046,3.628000020980835,3.8978986740112305,2.0,7.099999904632568,20.020000457763672,1.0
4,6,3.406928539276123,3.2049999237060547,2.97438645362854,2.0,7.0,14.0,1.0
4,7,3.5137836933135986,3.631999969482422,3.544654607772827,2.0,8.0,18.0,1.0
4,8,3.3696417808532715,3.385999917984009,2.9639506340026855,2.0,7.099999904632568,14.0,1.0
4,9,5.0269904136657715,4.810999870300293,4.1472015380859375,4.0,10.0,19.0,1.0
4,10,3.270519495010376,3.2179999351501465,2.7155985832214355,2.0,7.0,13.0,1.0
4,11,4.497123718261719,4.519999980926514,3.945833206176758,3.0,10.0,18.0,1.0
4,12,3.4290080070495605,3.4079999923706055,2.503105401992798,3.0,7.0,12.0,1.0
4,13,4.566623687744141,4.552999973297119,3.6931276321411133,3.0,10.0,17.0,1.0
4,14,3.723043918609619,3.5969998836517334,2.615452289581299,3.0,7.0,12.0,1.0
4,15,4.381807804107666,4.413000106811523,3.2659502029418945,3.0,8.0,16.0,1.0
4,16,4.195334434509277,4.27400016784668,3.518085241317749,3.0,9.0,16.0,1.0
4,17,5.969516754150391,5.901000022888184,4.226251125335693,5.0,11.100000381469727,20.0,1.0
4,18,5.064182758331299,4.973999977111816,3.428312301635742,4.0,10.0,16.0,1.0
4,19,6.74469518661499,6.934999942779541,5.294032096862793,6.0,13.0,29.0,1.0
4,20,4.945661544799805,5.190000057220459,3.8670272827148438,4.0,10.0,18.0,1.0
4,21,6.239742755889893,6.068999767303467,4.7066168785095215,5.0,12.0,22.010000228881836,1.0
4,22,5.266481399536133,5.39900016784668,4.3164567947387695,4.0,11.0,22.0,1.0
4,23,4.764797210693359,4.743000030517578,3.4578824043273926,4.0,9.0,18.0,1.0
4,24,4.81669282913208,4.973999977111816,3.5957369804382324,4.0,10.0,17.0,1.0
4,25,6.065583229064941,6.083000183105469,4.730762481689453,5.0,12.0,23.010000228881836,1.0
4,26,4.13419771194458,4.046999931335449,2.882150411605835,3.0,8.0,14.0,1.0
4,27,5.573399066925049,5.857999801635742,4.379478931427002,5.0,12.0,21.0,1.0
4,28,3.7685985565185547,3.8589999675750732,2.8870606422424316,3.0,7.0,14.0,1.0
4,29,5.320395469665527,5.124000072479248,3.6393163204193115,4.0,10.0,16.010000228881836,1.0
4,30,4.415892124176025,4.433000087738037,3.5672833919525146,3.0,10.0,16.0,1.0
4,31,3.7185161113739014,3.809999942779541,2.663437604904175,3.0,7.0,13.0,1.0
4,32,4.674688339233398,4.619999885559082,3.6093766689300537,4.0,9.0,17.0,1.0
4,33,5.678018093109131,5.703000068664551,4.636678695678711,4.0,11.0,25.0,1.0
4,34,3.6009042263031006,3.684000015258789,2.491614818572998,3.0,7.0,12.010000228881836,1.0
4,35,5.11069917678833,5.056000232696533,3.562143564224243,4.0,9.0,19.0,1.0
4,36,3.785446882247925,3.7950000762939453,3.015455961227417,3.0,7.0,16.0,1.0
4,37,5.108980655670166,4.921000003814697,3.589813232421875,4.0,10.0,17.010000228881836,1.0
4,38,4.319850921630859,4.186999797821045,2.766230344772339,4.0,8.0,14.0,1.0
4,39,4.155215263366699,4.142000198364258,3.193718194961548,3.0,8.0,15.0,1.0
4,40,4.095762252807617,4.056000232696533,3.0615134239196777,3.0,8.0,15.0,1.0
4,41,5.858855247497559,6.249000072479248,4.958527565002441,5.0,13.0,24.010000228881836,1.0
4,42,3.7315585613250732,3.753000020980835,2.8294858932495117,3.0,7.0,14.0,1.0
4,43,5.260009765625,5.276000022888184,3.8141610622406006,4.0,11.0,18.010000228881836,1.0
4,44,3.872936964035034,3.934999942779541,3.086871385574341,3.0,8.0,16.0,1.0
4,45,5.783287048339844,5.686999797821045,4.004626274108887,4.0,11.0,20.0,1.0
4,46,4.5333099365234375,4.4720001220703125,3.087266683578491,4.0,8.0,14.010000228881836,1.0
4,47,4.419621467590332,4.554999828338623,2.927964210510254,4.0,8.0,14.0,1.0
4,48,4.3002543449401855,4.314000129699707,2.8339731693267822,4.0,8.0,15.0,1.0
4,49,5.377264499664307,5.52400016784668,3.5857250690460205,5.0,10.0,17.0,1.0
4,50,3.902080774307251,3.8489999771118164,2.4641833305358887,3.0,7.0,11.0,1.0
4,51,5.291652679443359,5.308000087738037,3.3372347354888916,4.0,10.0,18.0,1.0
4,52,4.264860153198242,4.324999809265137,2.8434793949127197,4.0,8.0,15.0,1.0
4,53,5.3514933586120605,5.553999900817871,3.5705859661102295,5.0,10.0,17.0,1.0
4,54,3.8461191654205322,3.867000102996826,2.083101272583008,3.0,6.0,11.0,1.0
4,55,3.9678189754486084,3.9140000343322754,2.388012647628784,3.0,7.0,12.0,1.0
4,56,4.079633712768555,4.033999919891357,2.600931406021118,3.0,7.0,14.0,1.0
4,57,4.706799030303955,4.7829999923706055,3.036430597305298,4.0,9.0,16.0,1.0
4,58,3.530590057373047,3.618000030517578,2.1189799308776855,3.0,6.0,11.0,1.0
4,59,4.66758394241333,4.7779998779296875,2.827139377593994,4.0,9.0,14.0,1.0
4,60,3.58109974861145,3.6989998817443848,2.3728461265563965,3.0,7.0,12.0,1.0
4,61,4.630349159240723,4.576000213623047,2.595038414001465,4.0,8.0,14.0,1.0
4,62,3.6685235500335693,3.6470000743865967,2.066976308822632,3.0,6.0,11.0,1.0
4,63,4.166815280914307,4.145999908447266,2.6039745807647705,4.0,8.0,12.010000228881836,1.0
4,64,1.611665964126587,1.6160000562667847,0.7270103693008423,1.0,3.0,4.0,1.0
5,0,38.904083251953125,39.073001861572266,27.253177642822266,32.0,75.0999984741211,131.02000427246094,1.0
5,1,26.237672805786133,25.93899917602539,18.13475227355957,21.0,49.099998474121094,87.01000213623047,1.0
5,2,16.39610481262207,16.466999053955078,14.022015571594238,12.0,34.0,68.0,1.0
5,3,13.59644889831543,12.895999908447266,11.452911376953125,9.0,27.0,51.0,1.0
5,4,4.468436241149902,4.316999912261963,4.537015438079834,3.0,9.0,22.0,1.0
5,6,2.869982957839966,2.7750000953674316,3.021320104598999,2.0,5.0,18.0,1.0
5,7,3.203094959259033,3.38100004196167,3.499976873397827,2.0,8.0,17.0,1.0
5,8,3.3467280864715576,3.2639999389648438,2.914842128753662,2.0,7.0,14.0,1.0
5,9,5.034971714019775,4.922999858856201,4.552040100097656,3.0,11.0,22.0,1.0
5,10,3.096083641052246,3.111999988555908,2.7330305576324463,2.0,7.0,13.0,1.0
5,11,4.693230152130127,4.776000022888184,4.174664497375488,4.0,10.0,21.010000228881836,1.0
5,12,3.3003244400024414,3.253000020980835,2.637610912322998,2.0,7.0,12.010000228881836,1.0
5,13,4.403514385223389,4.525000095367432,3.5846023559570312,4.0,9.0,16.010000228881836,1.0
5,14,3.664442300796509,3.6440000534057617,2.709845781326294,3.0,7.0,13.0,1.0
5,15,4.058901309967041,4.165999889373779,3.2172107696533203,3.0,8.0,15.0,1.0
5,16,4.253227233886719,4.3520002365112305,3.1887452602386475,3.0,9.0,14.010000228881836,1.0
5,17,5.437261581420898,5.705999851226807,4.724570274353027,4.0,12.0,21.010000228881836,1.0
5,18,5.029603004455566,5.1479997634887695,3.697850227355957,4.0,10.0,18.0,1.0
5,19,6.709542751312256,6.732999801635742,5.059813499450684,5.0,13.0,27.0,1.0
5,20,5.00514030456543,5.020999908447266,3.323937177658081,4.0,9.0,16.0,1.0
5,21,6.346043109893799,6.25600004196167,4.745573043823242,5.0,12.100000381469727,23.0,1.0
5,22,5.389918804168701,5.440000057220459,4.0396037101745605,4.0,11.0,19.0,1.0
5,23,4.9716691970825195,4.736999988555908,3.203409194946289,4.0,9.0,15.010000228881836,1.0
